,kabupaten/kota,tempat_kejadian,jumlah_kekerasan,tahun
0,kabupaten bogor,rumah tangga,3,2018
1,kabupaten bogor,tempat kerja,0,2018
2,kabupaten bogor,lainnya,2,2018
3,kabupaten bogor,sekolah,1,2018
4,kabupaten bogor,fasilitas umum,0,2018
5,kabupaten bogor,lembaga pendidikan kilat,0,2018
6,kabupaten sukabumi,rumah tangga,8,2018
7,kabupaten sukabumi,tempat kerja,0,2018
8,kabupaten sukabumi,lainnya,69,2018
9,kabupaten sukabumi,sekolah,0,2018
10,kabupaten sukabumi,fasilitas umum,0,2018
11,kabupaten sukabumi,lembaga pendidikan kilat,0,2018
12,kabupaten cianjur,rumah tangga,3,2018
13,kabupaten cianjur,tempat kerja,0,2018
14,kabupaten cianjur,lainnya,1,2018
15,kabupaten cianjur,sekolah,0,2018
16,kabupaten cianjur,fasilitas umum,0,2018
17,kabupaten cianjur,lembaga pendidikan kilat,0,2018
18,kabupaten bandung,rumah tangga,21,2018
19,kabupaten bandung,tempat kerja,1,2018
20,kabupaten bandung,lainnya,7,2018
21,kabupaten bandung,sekolah,7,2018
22,kabupaten bandung,fasilitas umum,9,2018
23,kabupaten bandung,lembaga pendidikan kilat,0,2018
24,kabupaten garut,rumah tangga,5,2018
25,kabupaten garut,tempat kerja,0,2018
26,kabupaten garut,lainnya,1,2018
27,kabupaten garut,sekolah,1,2018
28,kabupaten garut,fasilitas umum,1,2018
29,kabupaten garut,lembaga pendidikan kilat,0,2018
30,kabupaten tasikmalaya,rumah tangga,12,2018
31,kabupaten tasikmalaya,tempat kerja,0,2018
32,kabupaten tasikmalaya,lainnya,10,2018
33,kabupaten tasikmalaya,sekolah,2,2018
34,kabupaten tasikmalaya,fasilitas umum,19,2018
35,kabupaten tasikmalaya,lembaga pendidikan kilat,0,2018
36,kabupaten ciamis,rumah tangga,7,2018
37,kabupaten ciamis,tempat kerja,0,2018
38,kabupaten ciamis,lainnya,12,2018
39,kabupaten ciamis,sekolah,0,2018
40,kabupaten ciamis,fasilitas umum,0,2018
41,kabupaten ciamis,lembaga pendidikan kilat,0,2018
42,kabupaten kuningan,rumah tangga,6,2018
43,kabupaten kuningan,tempat kerja,0,2018
44,kabupaten kuningan,lainnya,6,2018
45,kabupaten kuningan,sekolah,6,2018
46,kabupaten kuningan,fasilitas umum,0,2018
47,kabupaten kuningan,lembaga pendidikan kilat,0,2018
48,kabupaten cirebon,rumah tangga,17,2018
49,kabupaten cirebon,tempat kerja,1,2018
50,kabupaten cirebon,lainnya,1,2018
51,kabupaten cirebon,sekolah,1,2018
52,kabupaten cirebon,fasilitas umum,2,2018
53,kabupaten cirebon,lembaga pendidikan kilat,0,2018
54,kabupaten majalengka,rumah tangga,7,2018
55,kabupaten majalengka,tempat kerja,0,2018
56,kabupaten majalengka,lainnya,4,2018
57,kabupaten majalengka,sekolah,3,2018
58,kabupaten majalengka,fasilitas umum,2,2018
59,kabupaten majalengka,lembaga pendidikan kilat,0,2018
60,kabupaten sumedang,rumah tangga,10,2018
61,kabupaten sumedang,tempat kerja,0,2018
62,kabupaten sumedang,lainnya,16,2018
63,kabupaten sumedang,sekolah,0,2018
64,kabupaten sumedang,fasilitas umum,3,2018
65,kabupaten sumedang,lembaga pendidikan kilat,0,2018
66,kabupaten indramayu,rumah tangga,7,2018
67,kabupaten indramayu,tempat kerja,0,2018
68,kabupaten indramayu,lainnya,2,2018
69,kabupaten indramayu,sekolah,1,2018
70,kabupaten indramayu,fasilitas umum,1,2018
71,kabupaten indramayu,lembaga pendidikan kilat,0,2018
72,kabupaten subang,rumah tangga,28,2018
73,kabupaten subang,tempat kerja,0,2018
74,kabupaten subang,lainnya,11,2018
75,kabupaten subang,sekolah,1,2018
76,kabupaten subang,fasilitas umum,7,2018
